2025-10-24 21:12:00,877 INFO    MainThread:4660 [wandb_setup.py:_flush():81] Current SDK version is 0.22.1
2025-10-24 21:12:00,878 INFO    MainThread:4660 [wandb_setup.py:_flush():81] Configure stats pid to 4660
2025-10-24 21:12:00,878 INFO    MainThread:4660 [wandb_setup.py:_flush():81] Loading settings from /home/alvin/.config/wandb/settings
2025-10-24 21:12:00,878 INFO    MainThread:4660 [wandb_setup.py:_flush():81] Loading settings from /home/alvin/expand-and-cluster/wandb/settings
2025-10-24 21:12:00,878 INFO    MainThread:4660 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-24 21:12:00,878 INFO    MainThread:4660 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /home/alvin/expand-and-cluster/data/sims/wandb/run-20251024_211200-kwzcg4m2/logs/debug.log
2025-10-24 21:12:00,878 INFO    MainThread:4660 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /home/alvin/expand-and-cluster/data/sims/wandb/run-20251024_211200-kwzcg4m2/logs/debug-internal.log
2025-10-24 21:12:00,878 INFO    MainThread:4660 [wandb_init.py:init():832] calling init triggers
2025-10-24 21:12:00,878 INFO    MainThread:4660 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'model_name': 'mnist_lenet_4_4_4_4', 'model_init': 'kaiming_normal', 'batchnorm_init': 'uniform', 'batchnorm_frozen': False, 'output_frozen': False, 'others_frozen': False, 'others_frozen_exceptions': None, 'act_fun': 'relu', 'dataset_name': 'mnist', 'batch_size': 128, 'do_not_augment': False, 'transformation_seed': None, 'subsample_fraction': None, 'random_labels_fraction': None, 'unsupervised_labels': None, 'blur_factor': None, 'teacher_name': None, 'teacher_seed': None, 'samples': None, 'datagen': None, 'd_in': None, 'optimizer_name': 'sgd', 'lr': 0.1, 'training_steps': '40ep', 'data_order_seed': None, 'momentum': 0.0, 'nesterov_momentum': 0.0, 'milestone_steps': None, 'delta': None, 'plateau_opt': False, 'patience': None, 'cooldown': None, 'warmup_steps': None, 'weight_decay': None, 'apex_fp16': False, 'further_training': None, '_wandb': {}}
2025-10-24 21:12:00,878 INFO    MainThread:4660 [wandb_init.py:init():880] starting backend
2025-10-24 21:12:01,087 INFO    MainThread:4660 [wandb_init.py:init():883] sending inform_init request
2025-10-24 21:12:01,094 INFO    MainThread:4660 [wandb_init.py:init():891] backend started and connected
2025-10-24 21:12:01,096 INFO    MainThread:4660 [wandb_init.py:init():961] updated telemetry
2025-10-24 21:12:01,099 INFO    MainThread:4660 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-24 21:12:02,298 INFO    MainThread:4660 [wandb_init.py:init():1036] starting run threads in backend
2025-10-24 21:12:02,354 INFO    MainThread:4660 [wandb_run.py:_console_start():2506] atexit reg
2025-10-24 21:12:02,354 INFO    MainThread:4660 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-10-24 21:12:02,354 INFO    MainThread:4660 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-10-24 21:12:02,355 INFO    MainThread:4660 [wandb_run.py:_redirect():2446] Redirects installed.
2025-10-24 21:12:02,359 INFO    MainThread:4660 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-24 21:21:50,854 INFO    wandb-AsyncioManager-main:4660 [service_client.py:_forward_responses():80] Reached EOF.
2025-10-24 21:21:50,854 INFO    wandb-AsyncioManager-main:4660 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
